Latitude,Longitude,City,EV Zone,EV score,MPID,Max Range Loss
64.8396862,-147.7308063,Fairbanks,40-50,49.3,25,-69.40%
34.0611281,-118.2483545,LA,90-100,92,0,-24.30%
19.4267861,-99.118947,Mexico City,90-100,98,0,-11.30%
-54.8028854,-68.3089852,Ushuaia,60-70,63.6,0,-39.60%
40.6888194,-73.9302849,New York,70-80,79.9,0,-48.00%
63.7554156,-68.4959475,Iqaluit,20-30,27.8,77,-70.10%
-22.8771973,-43.2510273,Rio de Janeiro,90-100,96.4,0,-11.50%
48.8586119,2.3528941,Paris,80-90,83.4,0,-38.80%
59.9288935,10.7686308,Oslo,60-70,67.9,0,-53.60%
-26.1986164,28.0400214,Johannesburg,90-100,94,0,-24.50%
-1.3038915,36.8226635,Nairobi,90-100,99.4,0,-4.50%
39.9143245,116.4015365,Beijing,70-80,77.1,0,-49.40%
35.7044137,139.7559629,Tokyo,80-90,85.5,0,-31.60%
-33.8809965,151.0871117,Sydney,90-100,94.1,0,-17%
51.5067661,-0.1258884,London,80-90,80,0,-36%
37.7774898,-122.4289318,San Francisco,80-90,89.3,0,-28.40%
47.6065412,-122.3251384,Seattle,80-90,81.5,0,-39.60%
52.3724907,4.9049578,Amsterdam,70-80,79.4,0,-41.00%
31.284179,121.4216769,Shanghai,80-90,86.1,0,-39.90%
59.335359,18.0674073,Stockholm,70-80,70,1,-53.40%
55.7424609,37.5723208,Moscow,60-70,65.9,7,-61.60%
33.6844024,73.0672909,Islamabad,80-90,89.5,0,-27.20%
-12.0305841,-77.0189844,Lima,90-100,99.2,0,-2.80%
31.6272004,-7.98589,Marrakesh,80-90,88.7,0,-34.60%
25.0174439,55.2469179,Dubai,70-80,76.2,0,-39.40%
28.5272803,77.0688996,New Delhi,80-90,84.3,0,-36.90%
